date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:11:47	38410/38410	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/laptop-with-data-v2.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/laptop-with-data-v2.png	(from https://www.parsehub.com/features)
05:11:47	15472/15472	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/desktop-and-mobile.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/desktop-and-mobile.png	(from https://www.parsehub.com/features)
05:11:47	35419/35419	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/pie-and-bar-chart-icon-v2.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/pie-and-bar-chart-icon-v2.png	(from https://www.parsehub.com/features)
05:11:48	17718/17718	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/ecommerce-icon.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/ecommerce-icon.png	(from https://www.parsehub.com/features)
05:11:48	24868/24868	---MCZ	200	added ('OK')	text/html	etag:W/%226124-nZjClqxBlg/vvI/B0MIgeg%22	https://www.parsehub.com/blog/leveraging-data-scraping-for-commercial-due-diligence/	D:/Work/Stella/temp/2/www.parsehub.com/blog/leveraging-data-scraping-for-commercial-due-diligence/index.html	(from https://www.parsehub.com/features)
05:11:48	82988/82988	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/cursor-icon.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/cursor-icon.png	(from https://www.parsehub.com/features)
05:11:48	63010/63010	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/gears-v2.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/gears-v2.png	(from https://www.parsehub.com/features)
05:11:48	14887/14887	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/cloud-icon.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/cloud-icon.png	(from https://www.parsehub.com/features)
05:11:49	67376/67376	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/database-icon.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/database-icon.png	(from https://www.parsehub.com/features)
05:11:49	24390/24390	---MCZ	200	added ('OK')	text/html	etag:W/%225f46-sjud7vWDh6Rd1rNPCROp8A%22	https://www.parsehub.com/blog/get-10-000-quality-sales-leads-in-15-minutes/	D:/Work/Stella/temp/2/www.parsehub.com/blog/get-10-000-quality-sales-leads-in-15-minutes/index.html	(from https://www.parsehub.com/features)
05:11:49	27125/27125	---MCZ	200	added ('OK')	text/html	etag:W/%2269f5-wTWUQGL1iN4QXbJiV4/gQQ%22	https://www.parsehub.com/blog/compare-product-prices-on-amazon-with-web-scraping/	D:/Work/Stella/temp/2/www.parsehub.com/blog/compare-product-prices-on-amazon-with-web-scraping/index.html	(from https://www.parsehub.com/features)
05:11:58	275743/275743	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/download_screenshot_one.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/download_screenshot_one.png	(from https://www.parsehub.com/quickstart)
05:11:58	25942/25942	---MCZ	200	added ('OK')	text/html	etag:W/%226556-bO3hcOpui6B0oReOBDOqPQ%22	https://www.parsehub.com/blog/use-tableau-to-visualize-data-scraped-by-parsehub/	D:/Work/Stella/temp/2/www.parsehub.com/blog/use-tableau-to-visualize-data-scraped-by-parsehub/index.html	(from https://www.parsehub.com/features)
05:11:59	14796/14796	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/download_screenshot_two.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/download_screenshot_two.png	(from https://www.parsehub.com/quickstart)
05:12:01	82359/82359	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/download_screenshot_five.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/download_screenshot_five.png	(from https://www.parsehub.com/quickstart)
05:12:05	116101/116101	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/download_screenshot_three.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/download_screenshot_three.png	(from https://www.parsehub.com/quickstart)
05:12:07	36124/36124	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/download_screenshot_seven.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/download_screenshot_seven.png	(from https://www.parsehub.com/quickstart)
05:12:08	30741/30741	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/mac_security_warning.jpg	D:/Work/Stella/temp/2/www.parsehub.com/static/images/mac_security_warning.jpg	(from https://www.parsehub.com/quickstart)
05:12:10	53019/53019	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/download_screenshot_eight.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/download_screenshot_eight.png	(from https://www.parsehub.com/quickstart)
05:12:13	96008/96008	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/download_screenshot_four.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/download_screenshot_four.png	(from https://www.parsehub.com/quickstart)
05:12:13	2388/2388	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/windstep1.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/windstep1.png	(from https://www.parsehub.com/quickstart)
05:12:15	40186/40186	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/windstep3-1.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/windstep3-1.png	(from https://www.parsehub.com/quickstart)
05:12:17	48045/48045	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/windstep3-2.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/windstep3-2.png	(from https://www.parsehub.com/quickstart)
05:12:19	43321/43321	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/windstep4.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/windstep4.png	(from https://www.parsehub.com/quickstart)
05:12:20	34134/34134	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/windstep5.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/windstep5.png	(from https://www.parsehub.com/quickstart)
05:12:22	49092/49092	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/windstep6.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/windstep6.png	(from https://www.parsehub.com/quickstart)
05:12:23	102062/102062	---M-Z	200	added ('OK')	application/javascript	etag:%22de373c5486f614ead16ba596773b636d%22	https://checkout.stripe.com/checkout.js	D:/Work/Stella/temp/2/checkout.stripe.com/checkout.js	(from https://www.parsehub.com/pricing)
05:12:25	6961/6961	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2002:12:23%20GMT	https://www.parsehub.com/reset_request	D:/Work/Stella/temp/2/www.parsehub.com/reset_request.html	(from https://www.parsehub.com/pricing)
05:12:26	1086/1086	---MCZ	200	added ('OK')	image/x-icon	etag:%2256974e6b57c7bd51448c309915ca0d6c%22	https://www.parsehub.com/blog/favicon.ico	D:/Work/Stella/temp/2/www.parsehub.com/blog/favicon.ico	(from https://www.parsehub.com/blog/)
05:12:28	40995/40995	---MCZ	200	added ('OK')	text/css	etag:W/%22a023-1633c101508%22	https://www.parsehub.com/blog/assets/css/screen.css?v=7e189249f9	D:/Work/Stella/temp/2/www.parsehub.com/blog/assets/css/screen164c.css	(from https://www.parsehub.com/blog/)
05:12:31	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%221d9ac-1633c101508%22	https://www.parsehub.com/blog/assets/css/bootstrap.min.css?v=7e189249f9	D:/Work/Stella/temp/2/www.parsehub.com/blog/assets/css/bootstrap.min164c.css	(from https://www.parsehub.com/blog/)
05:12:33	3252/3252	---MCZ	200	added ('OK')	text/css	etag:W/%22cb4-1633c101508%22	https://www.parsehub.com/blog/assets/css/custom.css?v=7e189249f9	D:/Work/Stella/temp/2/www.parsehub.com/blog/assets/css/custom164c.css	(from https://www.parsehub.com/blog/)
05:12:34	97362/97362	---M-Z	200	added ('OK')	application/javascript	etag:W/%22569014b6-17c52%22	https://code.jquery.com/jquery-1.12.0.min.js	D:/Work/Stella/temp/2/code.jquery.com/jquery-1.12.0.min.js	(from https://www.parsehub.com/blog/)
05:12:35	13716/13716	---MCZ	200	added ('OK')	text/html	etag:W/%223594-Tj0gw3RBrrjdrClsS94wjw%22	https://www.parsehub.com/blog/page/2/	D:/Work/Stella/temp/2/www.parsehub.com/blog/page/2/index.html	(from https://www.parsehub.com/blog/)
05:12:36	2698/2698	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a8a-1633c101508%22	https://www.parsehub.com/blog/assets/js/jquery.fitvids.js?v=7e189249f9	D:/Work/Stella/temp/2/www.parsehub.com/blog/assets/js/jquery.fitvids164c.js	(from https://www.parsehub.com/blog/)
05:12:36	196468/196468	---MCZ	200	added ('OK')	text/xml	etag:W/%222ff74-Tm47pJOQxns8LoGxb5yyqQ%22	https://www.parsehub.com/blog/rss/	D:/Work/Stella/temp/2/www.parsehub.com/blog/rss/index.html	(from https://www.parsehub.com/blog/)
05:12:38	1705/1705	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a9-1633c101508%22	https://www.parsehub.com/blog/assets/js/index.js?v=7e189249f9	D:/Work/Stella/temp/2/www.parsehub.com/blog/assets/js/index164c.js	(from https://www.parsehub.com/blog/)
05:12:38	15954/15954	---MCZ	200	added ('OK')	text/html	etag:W/%223e52-is0s16tm3ShIIdr3cpQZXQ%22	https://www.parsehub.com/blog/tag/how-to-guides/	D:/Work/Stella/temp/2/www.parsehub.com/blog/tag/how-to-guides/index.html	(from https://www.parsehub.com/blog/)
05:12:40	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%229004-1633c101508%22	https://www.parsehub.com/blog/assets/js/bootstrap.min.js?v=7e189249f9	D:/Work/Stella/temp/2/www.parsehub.com/blog/assets/js/bootstrap.min164c.js	(from https://www.parsehub.com/blog/)
05:12:41	15805/15805	---MCZ	200	added ('OK')	text/html	etag:W/%223dbd-Bpf/flPxdyRt/kYSelzwnQ%22	https://www.parsehub.com/blog/tag/data-fun/	D:/Work/Stella/temp/2/www.parsehub.com/blog/tag/data-fun/index.html	(from https://www.parsehub.com/blog/)
05:12:43	15189/15189	---MCZ	200	added ('OK')	text/html	etag:W/%223b55-g32zwQBLVMHiYiFgmNFLUw%22	https://www.parsehub.com/blog/tag/business-hacks/	D:/Work/Stella/temp/2/www.parsehub.com/blog/tag/business-hacks/index.html	(from https://www.parsehub.com/blog/)
05:12:44	11520/11520	---MCZ	200	added ('OK')	text/html	etag:W/%222d00-FjRhyy1XwJB4uUaCXHlpAw%22	https://www.parsehub.com/blog/tag/start-up-journey/	D:/Work/Stella/temp/2/www.parsehub.com/blog/tag/start-up-journey/index.html	(from https://www.parsehub.com/blog/)
05:12:46	10585/10585	---MCZ	200	added ('OK')	text/html	etag:W/%222959-sXYq0xa8MlIRSVQSB3PV5A%22	https://www.parsehub.com/blog/tag/product-updates/	D:/Work/Stella/temp/2/www.parsehub.com/blog/tag/product-updates/index.html	(from https://www.parsehub.com/blog/)
05:12:48	18463/18463	---MCZ	200	added ('OK')	text/html	etag:W/%22481f-Koph9OElixolqrzON0S23A%22	https://www.parsehub.com/blog/getting-started-in-cryptocurrency-investing/	D:/Work/Stella/temp/2/www.parsehub.com/blog/getting-started-in-cryptocurrency-investing/index.html	(from https://www.parsehub.com/blog/)
05:12:49	11891/11891	---MCZ	200	added ('OK')	text/html	etag:W/%222e73-mTl3K+eIzpgPpF85yOAJjQ%22	https://www.parsehub.com/blog/author/melvin-bayoneto/	D:/Work/Stella/temp/2/www.parsehub.com/blog/author/melvin-bayoneto/index.html	(from https://www.parsehub.com/blog/)
05:12:51	19118/19118	---MCZ	200	added ('OK')	text/html	etag:W/%224aae-5efXlz0ZbWamFaQNJFCKeA%22	https://www.parsehub.com/blog/the-conversation-about-legalization/	D:/Work/Stella/temp/2/www.parsehub.com/blog/the-conversation-about-legalization/index.html	(from https://www.parsehub.com/blog/)
05:12:53	14481/14481	---MCZ	200	added ('OK')	text/html	etag:W/%223891-i4uBfpC9oQi0QN1jUGkNaA%22	https://www.parsehub.com/blog/tag/web-scraping/	D:/Work/Stella/temp/2/www.parsehub.com/blog/tag/web-scraping/index.html	(from https://www.parsehub.com/blog/)
05:12:55	9373/9373	---MCZ	200	added ('OK')	text/html	etag:W/%22249d-2bwdlUlBeIBJh/8/BMK6Ug%22	https://www.parsehub.com/blog/tag/legalization/	D:/Work/Stella/temp/2/www.parsehub.com/blog/tag/legalization/index.html	(from https://www.parsehub.com/blog/)
05:12:56	9473/9473	---MCZ	200	added ('OK')	text/html	etag:W/%222501-o+rsEMXkvI3TlfdsMcHhEw%22	https://www.parsehub.com/blog/tag/legalization-in-canada/	D:/Work/Stella/temp/2/www.parsehub.com/blog/tag/legalization-in-canada/index.html	(from https://www.parsehub.com/blog/)
05:12:58	20001/20001	---MCZ	200	added ('OK')	text/html	etag:W/%224e21-77kg/iZJXQ4HG/hgRzQgvQ%22	https://www.parsehub.com/blog/using-parsehub-to-compare-sneaker-prices/	D:/Work/Stella/temp/2/www.parsehub.com/blog/using-parsehub-to-compare-sneaker-prices/index.html	(from https://www.parsehub.com/blog/)
